POI名称,所在区县,详细地址,经度,纬度,POI类型,分析类别
城北拉面馆(中圣北街店),浦口区,中圣北街3-98号,118.620216,32.059759,餐饮服务;中餐厅;中餐厅,餐饮
好记·徐悲鸿画苑(鸡鸣寺店),玄武区,玄武门街道西家大塘46-1号,118.793648,32.064951,餐饮服务;中餐厅;中餐厅,餐饮
赵明鸡蛋馅饼(锁金村店),玄武区,锁金六村21幢,118.818326,32.070938,餐饮服务;餐饮相关场所;餐饮相关,餐饮
曹家小菜,江宁区,胜太路38-1号(胜太西路地铁站2号口步行340米),118.811758,31.944079,餐饮服务;中餐厅;中餐厅,餐饮
黑仔烧烤(金燕路),鼓楼区,金陵村95号-1号,118.762046,32.105613,餐饮服务;中餐厅;特色/地方风味餐厅,餐饮
雅园啤酒鸭馆(新华路店),六合区,大厂街道新华路105号,118.745825,32.222305,餐饮服务;中餐厅;中餐厅,餐饮
德天雪花肥牛海鲜火锅(天印大道),江宁区,天印大道1388号(天印大道地铁站1号口步行370米),118.864825,31.938399,餐饮服务;中餐厅;火锅店,餐饮
新月光建材家具城,六合区,大厂街道葛关路28栋南化八村,118.765326,32.224409,购物服务;家居建材市场;家具城|购物服务;家居建材市场;建材五金市场|餐饮服务;餐饮相关场所;餐饮相关,餐饮
woo沃花园,玄武区,陵东路与体育南路交界处,118.872435,32.049166,餐饮服务;咖啡厅;咖啡厅,餐饮
两棵枇杷树酒店(南京夫子庙老门东店),秦淮区,老门东边营3号,118.786148,32.011412,住宿服务;旅馆招待所;青年旅舍|餐饮服务;中餐厅;中餐厅,餐饮
江苏饭店(江苏店),秦淮区,太平南路305号(近太平商场),118.79255,32.031994,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,餐饮
南京望江楼宾馆(中山码头店),鼓楼区,江边路2号(近三号码头),118.73469,32.089565,住宿服务;宾馆酒店;三星级宾馆|餐饮服务;中餐厅;中餐厅,餐饮
高楼门饭店,玄武区,高楼门62号,118.78729,32.063606,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,餐饮
南京MING明怡美憬阁精选酒店,玄武区,长江路100号,118.787392,32.045531,住宿服务;宾馆酒店;宾馆酒店|餐饮服务;餐饮相关场所;餐饮相关,餐饮
南京金陵状元楼大酒店,秦淮区,状元境9号(夫子庙地铁站4号口步行410米),118.788117,32.022087,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,餐饮
江苏海院世纪缘国际邮轮酒店(南京江宁大学城交院地铁站店),江宁区,格致路309号,118.912632,31.91545,住宿服务;宾馆酒店;宾馆酒店|餐饮服务;中餐厅;中餐厅,餐饮
南京丰盛五季凯悦臻选酒店,雨花台区,软件大道119号(天隆寺地铁站3口步行220米),118.760972,31.977196,住宿服务;宾馆酒店;宾馆酒店|餐饮服务;餐饮相关场所;餐饮相关,餐饮
Tiny Petting Zoo浣熊丁满梅花鹿萌宠异宠咖啡厅,鼓楼区,中央路339号南京华贸中心,118.781334,32.080307,餐饮服务;餐饮相关场所;餐饮相关,餐饮
pinocat caming皮诺猫露营食集(中山陵直营店),玄武区,邮局路1号,118.85717,32.045139,体育休闲服务;休闲场所;休闲场所|餐饮服务;餐饮相关场所;餐饮相关,餐饮
古官道,江宁区,苏花路与龙坊路交叉口东北200米,118.703276,31.778085,餐饮服务;中餐厅;中餐厅,餐饮
锅立方·炭火蛙锅(江浦直营店),浦口区,公园北路6号凯莱花园1栋109室,118.632606,32.064882,餐饮服务;中餐厅;中餐厅,餐饮
弹拨尔新疆美食餐厅(东渡大厦店),秦淮区,延龄巷2东渡大厦F1层,118.791225,32.035475,餐饮服务;餐饮相关场所;餐饮相关,餐饮
沈师傅汤包,六合区,公园路1村3号,118.851863,32.343889,餐饮服务;中餐厅;中餐厅,餐饮
南农烧鸡(卫岗店),玄武区,卫岗童卫路6号,118.840798,32.037685,餐饮服务;中餐厅;中餐厅,餐饮
兰州广财牛肉拉面馆(扬子五村店),六合区,杨村三路与平顶山路交汇处,118.768966,32.242078,餐饮服务;中餐厅;中餐厅,餐饮
